04/22 01:33:08 AM: Printing arguments : Namespace(seed=1234, batch_size=64, num_workers=4, lr=0.1, lr_divisor=5, num_epochs=25, encoder='bilstm', checkpoint=None)
04/22 01:33:08 AM: Setting seed...
04/22 01:33:08 AM: Building/Loading the SNLI dataset...
04/22 01:33:08 AM: Vocab already exists. Loading from disk...
04/22 01:33:17 AM: Total number of parameters: 56983859
04/22 01:33:17 AM: Training the model...
Adjusting learning rate of group 0 to 1.0000e-01.
  0%|          | 0/25 [00:00<?, ?it/s]04/22 01:33:17 AM: Epoch: 1/25
04/22 01:43:44 AM: Batch: 11/154, Loss: 0.5059, Acc: 78.1250
04/22 01:43:44 AM: Batch: 21/154, Loss: 0.7018, Acc: 68.7500
04/22 01:43:44 AM: Batch: 31/154, Loss: 0.4493, Acc: 79.6875
04/22 01:43:44 AM: Batch: 41/154, Loss: 0.5989, Acc: 79.6875
04/22 01:43:44 AM: Batch: 51/154, Loss: 0.5823, Acc: 68.7500
04/22 01:43:44 AM: Batch: 61/154, Loss: 0.5158, Acc: 78.1250
04/22 01:43:45 AM: Batch: 71/154, Loss: 0.7180, Acc: 62.5000
04/22 01:43:45 AM: Batch: 81/154, Loss: 0.6363, Acc: 76.5625
04/22 01:43:45 AM: Batch: 91/154, Loss: 0.6783, Acc: 71.8750
04/22 01:43:45 AM: Batch: 101/154, Loss: 0.5537, Acc: 73.4375
04/22 01:43:45 AM: Batch: 111/154, Loss: 0.4406, Acc: 79.6875
04/22 01:43:45 AM: Batch: 121/154, Loss: 0.5658, Acc: 70.3125
04/22 01:43:45 AM: Batch: 131/154, Loss: 0.5783, Acc: 79.6875
04/22 01:43:45 AM: Batch: 141/154, Loss: 0.5389, Acc: 73.4375
04/22 01:43:45 AM: Batch: 151/154, Loss: 0.6679, Acc: 71.8750
04/22 01:43:45 AM: Epoch: 3/25, Val Loss: 0.5754, Val Acc: 76.3260
04/22 01:43:45 AM: Best model found with val acc.: 76.3260
 12%|█▏        | 3/25 [10:28<1:16:47, 209.44s/it]04/22 01:43:46 AM: Epoch: 4/25
Adjusting learning rate of group 0 to 9.7030e-02.
04/22 01:43:58 AM: Epoch: 4/25, Batch: 501/8584, Train Loss: 0.4373
04/22 01:44:10 AM: Epoch: 4/25, Batch: 1001/8584, Train Loss: 0.4766
04/22 01:44:22 AM: Epoch: 4/25, Batch: 1501/8584, Train Loss: 0.3400
04/22 01:44:34 AM: Epoch: 4/25, Batch: 2001/8584, Train Loss: 0.4500
04/22 01:44:46 AM: Epoch: 4/25, Batch: 2501/8584, Train Loss: 0.4614
04/22 01:44:58 AM: Epoch: 4/25, Batch: 3001/8584, Train Loss: 0.3442
04/22 01:45:10 AM: Epoch: 4/25, Batch: 3501/8584, Train Loss: 0.6321
04/22 01:45:22 AM: Epoch: 4/25, Batch: 4001/8584, Train Loss: 0.6183
04/22 01:45:34 AM: Epoch: 4/25, Batch: 4501/8584, Train Loss: 0.5475
04/22 01:45:47 AM: Epoch: 4/25, Batch: 5001/8584, Train Loss: 0.4504
04/22 01:45:59 AM: Epoch: 4/25, Batch: 5501/8584, Train Loss: 0.4212
04/22 01:46:11 AM: Epoch: 4/25, Batch: 6001/8584, Train Loss: 0.4077
04/22 01:46:23 AM: Epoch: 4/25, Batch: 6501/8584, Train Loss: 0.6132
04/22 01:46:35 AM: Epoch: 4/25, Batch: 7001/8584, Train Loss: 0.5038
04/22 01:46:47 AM: Epoch: 4/25, Batch: 7501/8584, Train Loss: 0.4485
04/22 01:46:59 AM: Epoch: 4/25, Batch: 8001/8584, Train Loss: 0.5183
04/22 01:47:11 AM: Epoch: 4/25, Batch: 8501/8584, Train Loss: 0.4731
04/22 01:47:13 AM: Epoch: 4/25, Train Loss: 0.5122
04/22 01:47:13 AM: Batch: 1/154, Loss: 0.5226, Acc: 79.6875
04/22 01:47:13 AM: Batch: 11/154, Loss: 0.4577, Acc: 78.1250
04/22 01:47:14 AM: Batch: 21/154, Loss: 0.6997, Acc: 65.6250
04/22 01:47:14 AM: Batch: 31/154, Loss: 0.4525, Acc: 78.1250
04/22 01:47:14 AM: Batch: 41/154, Loss: 0.6168, Acc: 79.6875
04/22 01:47:14 AM: Batch: 51/154, Loss: 0.5408, Acc: 73.4375
04/22 01:47:14 AM: Batch: 61/154, Loss: 0.5115, Acc: 78.1250
04/22 01:47:14 AM: Batch: 71/154, Loss: 0.6951, Acc: 64.0625
04/22 01:47:14 AM: Batch: 81/154, Loss: 0.6315, Acc: 70.3125
04/22 01:47:14 AM: Batch: 91/154, Loss: 0.6607, Acc: 70.3125
04/22 01:47:14 AM: Batch: 101/154, Loss: 0.5506, Acc: 78.1250
04/22 01:47:14 AM: Batch: 111/154, Loss: 0.4145, Acc: 87.5000
04/22 01:47:15 AM: Batch: 121/154, Loss: 0.5170, Acc: 75.0000
04/22 01:47:15 AM: Batch: 131/154, Loss: 0.5191, Acc: 82.8125
04/22 01:47:15 AM: Batch: 141/154, Loss: 0.4911, Acc: 78.1250
04/22 01:47:15 AM: Batch: 151/154, Loss: 0.6704, Acc: 75.0000
04/22 01:47:15 AM: Epoch: 4/25, Val Loss: 0.5605, Val Acc: 77.6875
04/22 01:47:15 AM: Best model found with val acc.: 77.6875
 16%|█▌        | 4/25 [13:57<1:13:18, 209.46s/it]04/22 01:47:15 AM: Epoch: 5/25
Adjusting learning rate of group 0 to 9.6060e-02.
04/22 01:47:27 AM: Epoch: 5/25, Batch: 501/8584, Train Loss: 0.3917
04/22 01:47:39 AM: Epoch: 5/25, Batch: 1001/8584, Train Loss: 0.4385
04/22 01:47:51 AM: Epoch: 5/25, Batch: 1501/8584, Train Loss: 0.3114
04/22 01:48:03 AM: Epoch: 5/25, Batch: 2001/8584, Train Loss: 0.3920
04/22 01:48:15 AM: Epoch: 5/25, Batch: 2501/8584, Train Loss: 0.4139
04/22 01:48:27 AM: Epoch: 5/25, Batch: 3001/8584, Train Loss: 0.3030
04/22 01:48:39 AM: Epoch: 5/25, Batch: 3501/8584, Train Loss: 0.5756
04/22 01:48:51 AM: Epoch: 5/25, Batch: 4001/8584, Train Loss: 0.5584
04/22 01:49:04 AM: Epoch: 5/25, Batch: 4501/8584, Train Loss: 0.4591
04/22 01:49:16 AM: Epoch: 5/25, Batch: 5001/8584, Train Loss: 0.4092
04/22 01:49:28 AM: Epoch: 5/25, Batch: 5501/8584, Train Loss: 0.3595
04/22 01:49:40 AM: Epoch: 5/25, Batch: 6001/8584, Train Loss: 0.3933
04/22 01:49:52 AM: Epoch: 5/25, Batch: 6501/8584, Train Loss: 0.5669
04/22 01:50:04 AM: Epoch: 5/25, Batch: 7001/8584, Train Loss: 0.4705
04/22 01:50:16 AM: Epoch: 5/25, Batch: 7501/8584, Train Loss: 0.4084
04/22 01:50:28 AM: Epoch: 5/25, Batch: 8001/8584, Train Loss: 0.4971
04/22 01:50:40 AM: Epoch: 5/25, Batch: 8501/8584, Train Loss: 0.4677
04/22 01:50:42 AM: Epoch: 5/25, Train Loss: 0.4759
04/22 01:50:43 AM: Batch: 1/154, Loss: 0.5012, Acc: 79.6875
04/22 01:50:43 AM: Batch: 11/154, Loss: 0.4511, Acc: 76.5625
04/22 01:50:43 AM: Batch: 21/154, Loss: 0.7105, Acc: 68.7500
04/22 01:50:43 AM: Batch: 31/154, Loss: 0.4834, Acc: 78.1250
04/22 01:50:43 AM: Batch: 41/154, Loss: 0.6276, Acc: 79.6875
04/22 01:50:43 AM: Batch: 51/154, Loss: 0.5318, Acc: 75.0000
04/22 01:50:43 AM: Batch: 61/154, Loss: 0.5051, Acc: 76.5625
04/22 01:50:43 AM: Batch: 71/154, Loss: 0.6993, Acc: 65.6250
04/22 01:50:43 AM: Batch: 81/154, Loss: 0.6538, Acc: 71.8750
04/22 01:50:43 AM: Batch: 91/154, Loss: 0.6398, Acc: 73.4375
04/22 01:50:43 AM: Batch: 101/154, Loss: 0.5383, Acc: 79.6875
04/22 01:50:44 AM: Batch: 111/154, Loss: 0.3709, Acc: 87.5000
04/22 01:50:44 AM: Batch: 121/154, Loss: 0.5049, Acc: 73.4375
04/22 01:50:44 AM: Batch: 131/154, Loss: 0.4672, Acc: 84.3750
04/22 01:50:44 AM: Batch: 141/154, Loss: 0.4599, Acc: 79.6875
04/22 01:50:44 AM: Batch: 151/154, Loss: 0.6940, Acc: 78.1250
04/22 01:50:44 AM: Epoch: 5/25, Val Loss: 0.5530, Val Acc: 78.5308
04/22 01:50:44 AM: Best model found with val acc.: 78.5308
 20%|██        | 5/25 [17:27<1:09:46, 209.35s/it]04/22 01:50:44 AM: Epoch: 6/25
Adjusting learning rate of group 0 to 9.5099e-02.
04/22 01:50:57 AM: Epoch: 6/25, Batch: 501/8584, Train Loss: 0.3558
04/22 01:51:09 AM: Epoch: 6/25, Batch: 1001/8584, Train Loss: 0.3926
04/22 01:51:21 AM: Epoch: 6/25, Batch: 1501/8584, Train Loss: 0.3160
04/22 01:51:33 AM: Epoch: 6/25, Batch: 2001/8584, Train Loss: 0.3379
04/22 01:51:45 AM: Epoch: 6/25, Batch: 2501/8584, Train Loss: 0.3674
04/22 01:51:57 AM: Epoch: 6/25, Batch: 3001/8584, Train Loss: 0.2827
04/22 01:52:09 AM: Epoch: 6/25, Batch: 3501/8584, Train Loss: 0.5544
04/22 01:52:21 AM: Epoch: 6/25, Batch: 4001/8584, Train Loss: 0.5051
04/22 01:52:33 AM: Epoch: 6/25, Batch: 4501/8584, Train Loss: 0.4303
04/22 01:52:45 AM: Epoch: 6/25, Batch: 5001/8584, Train Loss: 0.3626
04/22 01:52:57 AM: Epoch: 6/25, Batch: 5501/8584, Train Loss: 0.2971
04/22 01:53:09 AM: Epoch: 6/25, Batch: 6001/8584, Train Loss: 0.3767
04/22 01:53:21 AM: Epoch: 6/25, Batch: 6501/8584, Train Loss: 0.5386
04/22 01:53:33 AM: Epoch: 6/25, Batch: 7001/8584, Train Loss: 0.4408
04/22 01:53:45 AM: Epoch: 6/25, Batch: 7501/8584, Train Loss: 0.3769
04/22 01:53:57 AM: Epoch: 6/25, Batch: 8001/8584, Train Loss: 0.4823
04/22 01:54:10 AM: Epoch: 6/25, Batch: 8501/8584, Train Loss: 0.4165
04/22 01:54:12 AM: Epoch: 6/25, Train Loss: 0.4420
04/22 01:54:12 AM: Batch: 1/154, Loss: 0.5104, Acc: 75.0000
04/22 01:54:12 AM: Batch: 11/154, Loss: 0.4510, Acc: 81.2500
04/22 01:54:12 AM: Batch: 21/154, Loss: 0.7193, Acc: 68.7500
04/22 01:54:12 AM: Batch: 31/154, Loss: 0.4989, Acc: 79.6875
04/22 01:54:12 AM: Batch: 41/154, Loss: 0.6439, Acc: 79.6875
04/22 01:54:12 AM: Batch: 51/154, Loss: 0.5218, Acc: 78.1250
04/22 01:54:12 AM: Batch: 61/154, Loss: 0.5245, Acc: 78.1250
04/22 01:54:12 AM: Batch: 71/154, Loss: 0.7096, Acc: 71.8750
04/22 01:54:13 AM: Batch: 81/154, Loss: 0.6442, Acc: 70.3125
04/22 01:54:13 AM: Batch: 91/154, Loss: 0.6135, Acc: 73.4375
04/22 01:54:13 AM: Batch: 101/154, Loss: 0.5068, Acc: 81.2500
04/22 01:54:13 AM: Batch: 111/154, Loss: 0.3408, Acc: 85.9375
04/22 01:54:13 AM: Batch: 121/154, Loss: 0.5380, Acc: 71.8750
04/22 01:54:13 AM: Batch: 131/154, Loss: 0.4271, Acc: 84.3750
04/22 01:54:13 AM: Batch: 141/154, Loss: 0.4529, Acc: 81.2500
04/22 01:54:13 AM: Batch: 151/154, Loss: 0.7169, Acc: 78.1250
04/22 01:54:13 AM: Epoch: 6/25, Val Loss: 0.5495, Val Acc: 78.9779
04/22 01:54:13 AM: Best model found with val acc.: 78.9779
 24%|██▍       | 6/25 [20:56<1:06:17, 209.32s/it]04/22 01:54:13 AM: Epoch: 7/25
Adjusting learning rate of group 0 to 9.4148e-02.
04/22 01:54:26 AM: Epoch: 7/25, Batch: 501/8584, Train Loss: 0.3083
04/22 01:54:38 AM: Epoch: 7/25, Batch: 1001/8584, Train Loss: 0.3377
04/22 01:54:50 AM: Epoch: 7/25, Batch: 1501/8584, Train Loss: 0.2945
04/22 01:55:02 AM: Epoch: 7/25, Batch: 2001/8584, Train Loss: 0.2931
04/22 01:55:14 AM: Epoch: 7/25, Batch: 2501/8584, Train Loss: 0.3162
04/22 01:55:26 AM: Epoch: 7/25, Batch: 3001/8584, Train Loss: 0.2569
04/22 01:55:38 AM: Epoch: 7/25, Batch: 3501/8584, Train Loss: 0.5115
04/22 01:55:50 AM: Epoch: 7/25, Batch: 4001/8584, Train Loss: 0.4611
04/22 01:56:02 AM: Epoch: 7/25, Batch: 4501/8584, Train Loss: 0.3855
04/22 01:56:14 AM: Epoch: 7/25, Batch: 5001/8584, Train Loss: 0.3310
04/22 01:56:26 AM: Epoch: 7/25, Batch: 5501/8584, Train Loss: 0.2560
04/22 01:56:38 AM: Epoch: 7/25, Batch: 6001/8584, Train Loss: 0.3766
04/22 01:56:50 AM: Epoch: 7/25, Batch: 6501/8584, Train Loss: 0.5036
04/22 01:57:03 AM: Epoch: 7/25, Batch: 7001/8584, Train Loss: 0.3867
04/22 01:57:15 AM: Epoch: 7/25, Batch: 7501/8584, Train Loss: 0.3350
04/22 01:57:27 AM: Epoch: 7/25, Batch: 8001/8584, Train Loss: 0.5004
04/22 01:57:39 AM: Epoch: 7/25, Batch: 8501/8584, Train Loss: 0.3891
04/22 01:57:41 AM: Epoch: 7/25, Train Loss: 0.4091
04/22 01:57:41 AM: Batch: 1/154, Loss: 0.5383, Acc: 78.1250
04/22 01:57:41 AM: Batch: 11/154, Loss: 0.4686, Acc: 82.8125
04/22 01:57:41 AM: Batch: 21/154, Loss: 0.8265, Acc: 64.0625
04/22 01:57:41 AM: Batch: 31/154, Loss: 0.4967, Acc: 79.6875
04/22 01:57:42 AM: Batch: 41/154, Loss: 0.6792, Acc: 81.2500
04/22 01:57:42 AM: Batch: 51/154, Loss: 0.5458, Acc: 76.5625
04/22 01:57:42 AM: Batch: 61/154, Loss: 0.5165, Acc: 76.5625
04/22 01:57:42 AM: Batch: 71/154, Loss: 0.7633, Acc: 67.1875
04/22 01:57:42 AM: Batch: 81/154, Loss: 0.6748, Acc: 71.8750
04/22 01:57:42 AM: Batch: 91/154, Loss: 0.5854, Acc: 70.3125
04/22 01:57:42 AM: Batch: 101/154, Loss: 0.5097, Acc: 76.5625
04/22 01:57:42 AM: Batch: 111/154, Loss: 0.3406, Acc: 85.9375
04/22 01:57:42 AM: Batch: 121/154, Loss: 0.5831, Acc: 71.8750
04/22 01:57:42 AM: Batch: 131/154, Loss: 0.4194, Acc: 84.3750
04/22 01:57:42 AM: Batch: 141/154, Loss: 0.4560, Acc: 81.2500
04/22 01:57:43 AM: Batch: 151/154, Loss: 0.7429, Acc: 78.1250
04/22 01:57:43 AM: Epoch: 7/25, Val Loss: 0.5686, Val Acc: 78.5613
04/22 01:57:43 AM: Learning rate decreased to: 0.0186
 28%|██▊       | 7/25 [24:25<1:02:46, 209.25s/it]04/22 01:57:43 AM: Epoch: 8/25
Adjusting learning rate of group 0 to 9.3207e-02.
04/22 01:57:55 AM: Epoch: 8/25, Batch: 501/8584, Train Loss: 0.2634
04/22 01:58:07 AM: Epoch: 8/25, Batch: 1001/8584, Train Loss: 0.2875
04/22 01:58:19 AM: Epoch: 8/25, Batch: 1501/8584, Train Loss: 0.2933
04/22 01:58:31 AM: Epoch: 8/25, Batch: 2001/8584, Train Loss: 0.2396
04/22 01:58:43 AM: Epoch: 8/25, Batch: 2501/8584, Train Loss: 0.2605
04/22 01:58:55 AM: Epoch: 8/25, Batch: 3001/8584, Train Loss: 0.1804
04/22 01:59:07 AM: Epoch: 8/25, Batch: 3501/8584, Train Loss: 0.4357
04/22 01:59:19 AM: Epoch: 8/25, Batch: 4001/8584, Train Loss: 0.3275
04/22 01:59:31 AM: Epoch: 8/25, Batch: 4501/8584, Train Loss: 0.2996
04/22 01:59:43 AM: Epoch: 8/25, Batch: 5001/8584, Train Loss: 0.2084
04/22 01:59:56 AM: Epoch: 8/25, Batch: 5501/8584, Train Loss: 0.1735
04/22 02:00:08 AM: Epoch: 8/25, Batch: 6001/8584, Train Loss: 0.2305
04/22 02:00:20 AM: Epoch: 8/25, Batch: 6501/8584, Train Loss: 0.2875
04/22 02:00:32 AM: Epoch: 8/25, Batch: 7001/8584, Train Loss: 0.2355
04/22 02:00:44 AM: Epoch: 8/25, Batch: 7501/8584, Train Loss: 0.2124
04/22 02:00:56 AM: Epoch: 8/25, Batch: 8001/8584, Train Loss: 0.4172
04/22 02:01:08 AM: Epoch: 8/25, Batch: 8501/8584, Train Loss: 0.2286
04/22 02:01:10 AM: Epoch: 8/25, Train Loss: 0.3153
04/22 02:01:10 AM: Batch: 1/154, Loss: 0.6218, Acc: 78.1250
04/22 02:01:10 AM: Batch: 11/154, Loss: 0.4447, Acc: 81.2500
04/22 02:01:10 AM: Batch: 21/154, Loss: 1.0167, Acc: 68.7500
04/22 02:01:10 AM: Batch: 31/154, Loss: 0.5003, Acc: 84.3750
04/22 02:01:11 AM: Batch: 41/154, Loss: 0.7781, Acc: 81.2500
04/22 02:01:11 AM: Batch: 51/154, Loss: 0.5718, Acc: 84.3750
04/22 02:01:11 AM: Batch: 61/154, Loss: 0.5193, Acc: 79.6875
04/22 02:01:11 AM: Batch: 71/154, Loss: 0.9502, Acc: 70.3125
04/22 02:01:11 AM: Batch: 81/154, Loss: 0.7730, Acc: 71.8750
04/22 02:01:11 AM: Batch: 91/154, Loss: 0.5954, Acc: 79.6875
04/22 02:01:11 AM: Batch: 101/154, Loss: 0.5060, Acc: 84.3750
04/22 02:01:11 AM: Batch: 111/154, Loss: 0.3604, Acc: 84.3750
04/22 02:01:11 AM: Batch: 121/154, Loss: 0.6173, Acc: 78.1250
04/22 02:01:11 AM: Batch: 131/154, Loss: 0.3776, Acc: 87.5000
04/22 02:01:12 AM: Batch: 141/154, Loss: 0.4850, Acc: 82.8125
04/22 02:01:12 AM: Batch: 151/154, Loss: 0.8231, Acc: 71.8750
04/22 02:01:12 AM: Epoch: 8/25, Val Loss: 0.6087, Val Acc: 79.9431
04/22 02:01:12 AM: Best model found with val acc.: 79.9431
 32%|███▏      | 8/25 [27:54<59:17, 209.25s/it]  04/22 02:01:12 AM: Epoch: 9/25
Adjusting learning rate of group 0 to 1.8455e-02.
04/22 02:01:24 AM: Epoch: 9/25, Batch: 501/8584, Train Loss: 0.1577
04/22 02:01:36 AM: Epoch: 9/25, Batch: 1001/8584, Train Loss: 0.2532
04/22 02:01:48 AM: Epoch: 9/25, Batch: 1501/8584, Train Loss: 0.2376
04/22 02:02:00 AM: Epoch: 9/25, Batch: 2001/8584, Train Loss: 0.1800
04/22 02:02:12 AM: Epoch: 9/25, Batch: 2501/8584, Train Loss: 0.2174
04/22 02:02:24 AM: Epoch: 9/25, Batch: 3001/8584, Train Loss: 0.1482
